Date,E_ID,R_ID,Time,Cl2 (mg/L),Cu (mg/L),pH,T (°C),EC (μS/cm),UV254,cATP,cATP (pg/mL),THM (μg/L),TCC (#/mL),HNAP (%),cATP0
10/23/24,CVF,1,0,0.000,1.430,7.58,21.5,860.0,0.067,122,1.99,61.8,4680,58.3%,12272
10/23/24,CVF,1,2,0.018,0.554,7.51,22.8,864.9,0.044,38,0.62,62.0,11070,45.3%,12272
10/23/24,CVF,1,4,0.094,0.513,7.49,22.0,854.3,0.046,28,0.46,58.0,8250,49.2%,12272
10/23/24,CVF,1,8,0.203,0.388,7.50,21.9,863.1,0.041,65,1.06,55.0,4380,37.0%,12272
10/24/24,CVF,2,0,0.000,1.230,7.63,20.9,860.6,0.063,113,1.41,58.0,7600,75.7%,15993
10/24/24,CVF,2,2,0.041,0.528,7.56,22.0,863.4,0.042,35,0.44,61.9,9870,40.8%,15993
10/24/24,CVF,2,4,0.073,0.547,7.56,21.2,859.1,0.047,84,1.05,60.7,12740,50.2%,15993
10/24/24,CVF,2,8,0.212,0.445,7.54,21.1,861.3,0.041,53,0.66,53.5,4560,37.9%,15993
10/25/24,SS,1,0,0.229,0.209,7.48,24.0,849.5,0.035,70,0.88,55.8,8660,34.6%,15925
10/25/24,SS,1,4,0.009,0.888,7.54,20.7,852.1,0.054,58,0.73,57.8,10890,47.5%,15925
10/25/24,SS,1,8,0.000,0.912,7.54,19.9,852.3,0.055,32,0.40,58.9,9960,58.0%,15925
10/25/24,SS,1,12,0.000,1.212,7.57,20.1,853.1,0.057,68,0.85,57.7,NA,NA,15925
10/26/24,SS,1,24,0.000,1.472,7.69,20.8,853.8,0.068,245,3.44,59.7,19690,72.2%,14262
10/26/24,SS,1,36,0.000,1.753,7.70,19.9,860.3,0.077,1089,15.27,57.7,35860,77.9%,14262
10/27/24,SS,1,48,0.000,1.794,7.65,21.2,855.4,0.078,1991,25.47,58.9,92530,84.1%,15632
10/27/24,SS,1,60,0.000,1.832,7.77,20.5,850.8,0.080,2255,28.85,59.0,117130,83.0%,15632
10/28/24,SS,1,72,0.000,1.813,7.67,20.9,851.5,0.079,2548,37.89,58.1,163520,84.8%,13450
10/29/24,SS,1,96,0.000,1.696,7.92,20.7,851.0,0.075,2020,25.87,55.2,247620,68.2%,15617
