t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
0,50,A2,0:00,31:00.1,3.14,345.8,7.871,1123,21.664,Closed
10,50,A2,0:00,31:10.1,3.69,290.4,7.882,1091,21.663,Open
20,50,A2,0:00,31:20.1,5.18,345,7.823,1086,21.661,Open
30,50,A2,0:00,31:30.1,6.13,314.7,7.772,1085,21.656,Open
40,50,A2,0:00,31:40.1,6.44,291.4,7.772,1087,21.657,Open
50,50,A2,0:00,31:50.1,6.05,288.6,7.742,1089,21.653,Open
60,50,A2,0:01,32:00.1,5.8,286.7,7.77,1087,21.655,Open
70,50,A2,0:01,32:10.1,5.72,287.7,7.771,1087,21.655,Open
80,50,A2,0:01,32:20.1,5.66,286.4,7.759,1087,21.656,Open
90,50,A2,0:01,32:30.1,5.74,285.7,7.75,1088,21.649,Open
100,50,A2,0:01,32:40.1,5.7,284.2,7.765,1088,21.652,Open
110,50,A2,0:01,32:50.1,5.6,282.8,7.79,1088,21.652,Open
120,50,A2,0:02,33:00.1,5.54,281.2,7.788,1088,21.653,Open
130,50,A2,0:02,33:10.1,5.58,280.7,7.767,1088,21.655,Open
140,50,A2,0:02,33:20.1,5.59,280.2,7.777,1088,21.658,Open
150,50,A2,0:02,33:30.1,5.58,280,7.777,1088,21.653,Open
160,50,A2,0:02,33:40.1,5.61,279.6,7.764,1088,21.659,Open
170,50,A2,0:02,33:50.1,5.6,279.4,7.761,1089,21.655,Open
180,50,A2,0:03,34:00.1,5.55,277.6,7.793,1091,21.654,Open
190,50,A2,0:03,34:10.1,5.46,274.2,7.819,1091,21.65,Open
200,50,A2,0:03,34:20.1,5.42,274.9,7.793,1091,21.653,Open
210,50,A2,0:03,34:30.1,5.43,272.9,7.763,1093,21.653,Open
220,50,A2,0:03,34:40.1,5.5,274.5,7.742,1098,21.655,Open
230,50,A2,0:03,34:50.1,5.58,277.1,7.714,1107,21.657,Open
240,50,A2,0:04,35:00.1,5.61,275.8,7.698,1119,21.664,Open
250,50,A2,0:04,35:10.1,5.73,277.6,7.68,1132,21.675,Open
260,50,A2,0:04,35:20.1,5.8,280.5,7.676,1145,21.692,Open
270,50,A2,0:04,35:30.1,5.8,281.6,7.671,1156,21.712,Open
280,50,A2,0:04,35:40.1,5.88,287.8,7.663,1166,21.855,Open
290,50,A2,0:04,35:50.1,5.88,285.6,7.656,1172,21.869,Open
300,50,A2,0:05,36:00.1,5.94,286.3,7.656,1177,21.893,Open
310,50,A2,0:05,36:10.1,5.93,290.1,7.66,1181,22.031,Open
320,50,A2,0:05,36:20.1,6.01,290.9,7.649,1184,22.034,Open
330,50,A2,0:05,36:30.1,6.1,292,7.646,1186,22.052,Open
340,50,A2,0:05,36:40.1,6.13,296.3,7.642,1187,22.069,Open
350,50,A2,0:05,36:50.1,6.22,296.7,7.645,1188,22.089,Open
360,50,A2,0:06,37:00.1,6.32,299.7,7.637,1189,22.244,Open
370,50,A2,0:06,37:10.1,6.41,302.4,7.637,1190,22.243,Open
380,50,A2,0:06,37:20.1,6.49,301.3,7.635,1190,22.243,Open
390,50,A2,0:06,37:30.1,6.52,304.8,7.635,1191,22.248,Open
400,50,A2,0:06,37:40.1,6.61,305.3,7.623,1191,22.263,Open
410,50,A2,0:06,37:50.1,6.62,310.9,7.63,1191,22.28,Open
420,50,A2,0:07,38:00.1,6.66,310.4,7.626,1192,22.294,Open
430,50,A2,0:07,38:10.1,6.73,312.8,7.625,1192,22.311,Open
440,50,A2,0:07,38:20.1,6.72,312.9,7.623,1192,22.329,Open
450,50,A2,0:07,38:30.1,6.79,316.4,7.62,1193,22.474,Open
460,50,A2,0:07,38:40.1,6.89,316.6,7.624,1193,22.459,Open
470,50,A2,0:07,38:50.1,6.96,319.1,7.621,1193,22.457,Open
480,50,A2,0:08,39:00.1,7.1,322.1,7.623,1193,22.461,Open
490,50,A2,0:08,39:10.1,7.34,319.8,7.623,1193,22.468,Open
500,50,A2,0:08,39:20.1,7.46,323.5,7.625,1193,22.477,Open
510,50,A2,0:08,39:30.1,7.63,326.2,7.62,1194,22.482,Open
520,50,A2,0:08,39:40.1,7.71,327.2,7.615,1194,22.497,Open
530,50,A2,0:08,39:50.1,8.06,328.6,7.614,1194,22.516,Open
540,50,A2,0:09,40:00.1,8.29,330.4,7.615,1194,22.53,Open
550,50,A2,0:09,40:10.1,8.53,332.7,7.615,1194,22.546,Open
560,50,A2,0:09,40:20.1,8.68,334.6,7.614,1194,22.563,Open
570,50,A2,0:09,40:30.1,8.83,335,7.617,1194,22.583,Open
580,50,A2,0:09,40:40.1,8.97,335.8,7.615,1194,22.598,Open
590,50,A2,0:09,40:50.1,9.15,339.6,7.613,1194,22.722,Open
600,50,A2,0:10,41:00.1,9.2,339.5,7.62,1194,22.715,Open
610,50,A2,0:10,41:10.1,9.14,383,7.588,1194,22.714,Closed
620,50,A2,0:10,41:20.1,8.47,397.9,7.56,1194,22.728,Closed
630,50,A2,0:10,41:30.1,7.96,400.7,7.56,1194,22.744,Closed
640,50,A2,0:10,41:40.1,7.6,402.2,7.559,1193,22.762,Closed
650,50,A2,0:10,41:50.1,7.34,405.2,7.566,1193,22.78,Closed
660,50,A2,0:11,42:00.1,7.12,405.5,7.572,1192,22.794,Closed
670,50,A2,0:11,42:10.1,6.97,406.5,7.58,1192,22.809,Closed
680,50,A2,0:11,42:20.1,6.85,408.6,7.585,1191,22.825,Closed
690,50,A2,0:11,42:30.1,6.75,408.6,7.588,1190,22.843,Closed
700,50,A2,0:11,42:40.1,6.67,409.3,7.593,1189,22.858,Closed
710,50,A2,0:11,42:50.1,6.61,411,7.599,1189,22.877,Closed
720,50,A2,0:12,43:00.1,6.57,412,7.603,1188,22.893,Closed
730,50,A2,0:12,43:10.1,6.54,412.7,7.604,1188,22.905,Closed
740,50,A2,0:12,43:20.1,6.52,413.3,7.608,1187,22.92,Closed
750,50,A2,0:12,43:30.1,6.52,415.2,7.615,1187,22.93,Closed
760,50,A2,0:12,43:40.1,6.52,415.7,7.618,1186,22.947,Closed
770,50,A2,0:12,43:50.1,6.54,416.4,7.62,1186,22.959,Closed
780,50,A2,0:13,44:00.1,6.56,416.6,7.625,1185,22.971,Closed
790,50,A2,0:13,44:10.1,6.59,418.8,7.626,1185,22.982,Closed
800,50,A2,0:13,44:20.1,6.61,418.2,7.63,1184,22.992,Closed
810,50,A2,0:13,44:30.1,6.65,419.4,7.631,1184,23.002,Closed
820,50,A2,0:13,44:40.1,6.68,420.5,7.633,1183,23.015,Closed
830,50,A2,0:13,44:50.1,6.72,420.7,7.635,1183,23.024,Closed
840,50,A2,0:14,45:00.1,6.75,422.4,7.633,1182,23.032,Closed
850,50,A2,0:14,45:10.1,6.78,423.2,7.636,1182,23.041,Closed
860,50,A2,0:14,45:20.1,6.79,422.9,7.635,1181,23.047,Closed
870,50,A2,0:14,45:30.1,6.81,424.3,7.637,1181,23.06,Closed
880,50,A2,0:14,45:40.1,6.82,425.6,7.639,1180,23.071,Closed
890,50,A2,0:14,45:50.1,6.83,425.9,7.64,1180,23.081,Closed
900,50,A2,0:15,46:00.1,6.83,427,7.644,1179,23.091,Closed
910,50,A2,0:15,46:10.1,6.83,426.2,7.644,1179,23.096,Closed
920,50,A2,0:15,46:20.1,6.82,427.5,7.644,1179,23.103,Closed
930,50,A2,0:15,46:30.1,6.82,427.9,7.646,1178,23.111,Closed
940,50,A2,0:15,46:40.1,6.81,428.8,7.646,1178,23.117,Closed
950,50,A2,0:15,46:50.1,6.8,428.5,7.647,1177,23.124,Closed
960,50,A2,0:16,47:00.1,6.79,429.9,7.646,1177,23.132,Closed
970,50,A2,0:16,47:10.1,6.78,430.5,7.649,1176,23.138,Closed
980,50,A2,0:16,47:20.1,6.77,429.9,7.65,1176,23.147,Closed
990,50,A2,0:16,47:30.1,6.76,430.9,7.65,1176,23.151,Closed
1000,50,A2,0:16,47:40.1,6.75,432,7.65,1175,23.153,Closed
1010,50,A2,0:16,47:50.1,6.74,432.5,7.65,1175,23.157,Closed
1020,50,A2,0:17,48:00.1,6.73,432.4,7.651,1174,23.16,Closed
1030,50,A2,0:17,48:10.1,6.72,434.7,7.654,1174,23.166,Closed
1040,50,A2,0:17,48:20.1,6.71,433.7,7.654,1174,23.171,Closed
1050,50,A2,0:17,48:30.1,6.7,435.2,7.653,1173,23.176,Closed
1060,50,A2,0:17,48:40.1,6.69,436,7.657,1173,23.178,Closed
1070,50,A2,0:17,48:50.1,6.67,436.4,7.656,1173,23.181,Closed
1080,50,A2,0:18,49:00.1,6.66,436.4,7.658,1172,23.187,Closed
1090,50,A2,0:18,49:10.1,6.65,437.1,7.656,1172,23.191,Closed
1100,50,A2,0:18,49:20.1,6.64,438.2,7.656,1171,23.194,Closed
1110,50,A2,0:18,49:30.1,6.63,438.4,7.658,1171,23.196,Closed
1120,50,A2,0:18,49:40.1,6.63,439.3,7.66,1171,23.201,Closed
1130,50,A2,0:18,49:50.1,6.62,439.9,7.658,1170,23.201,Closed
1140,50,A2,0:19,50:00.1,6.61,439.9,7.66,1170,23.206,Closed
1150,50,A2,0:19,50:10.1,6.65,440.4,7.661,1170,23.207,Closed
1160,50,A2,0:19,50:20.1,6.67,440,7.66,1169,23.21,Closed
1170,50,A2,0:19,50:30.1,6.67,441.1,7.66,1169,23.21,Closed
1180,50,A2,0:19,50:40.1,6.67,440.4,7.66,1169,23.213,Closed
1190,50,A2,0:19,50:50.1,6.68,440.9,7.662,1168,23.216,Closed
1200,50,A2,0:20,51:00.1,6.69,442.5,7.663,1168,23.219,Closed
1210,50,A2,0:20,51:10.1,6.7,442.4,7.662,1168,23.221,Closed
1220,50,A2,0:20,51:20.1,6.7,442.4,7.664,1168,23.221,Closed
1230,50,A2,0:20,51:30.1,6.7,442.6,7.662,1167,23.221,Closed
1240,50,A2,0:20,51:40.1,6.7,443,7.663,1167,23.222,Closed
1250,50,A2,0:20,51:50.1,6.68,443.5,7.661,1167,23.224,Closed
1260,50,A2,0:21,52:00.1,6.66,444.6,7.66,1166,23.227,Closed
1270,50,A2,0:21,52:10.1,6.65,444.7,7.661,1166,23.227,Closed
1280,50,A2,0:21,52:20.1,6.64,444.5,7.662,1165,23.229,Closed
1290,50,A2,0:21,52:30.1,6.64,445.9,7.661,1165,23.231,Closed
1300,50,A2,0:21,52:40.1,6.64,447.5,7.664,1165,23.231,Closed
1310,50,A2,0:21,52:50.1,6.63,447.1,7.662,1165,23.23,Closed
1320,50,A2,0:22,53:00.1,6.62,446.3,7.662,1164,23.23,Closed
1330,50,A2,0:22,53:10.1,6.62,447.8,7.661,1164,23.232,Closed
1340,50,A2,0:22,53:20.1,6.62,448.1,7.663,1164,23.231,Closed
1350,50,A2,0:22,53:30.1,6.6,448.8,7.661,1163,23.23,Closed
1360,50,A2,0:22,53:40.1,6.6,447.7,7.661,1163,23.228,Closed
1370,50,A2,0:22,53:50.1,6.58,448.8,7.662,1163,23.226,Closed
1380,50,A2,0:23,54:00.1,6.57,449.6,7.66,1162,23.223,Closed
1390,50,A2,0:23,54:10.1,6.56,450.3,7.664,1162,23.221,Closed
1400,50,A2,0:23,54:20.1,6.55,450.2,7.664,1162,23.217,Closed
1410,50,A2,0:23,54:30.1,6.54,450.8,7.667,1162,23.217,Closed
1420,50,A2,0:23,54:40.1,6.53,450.6,7.667,1161,23.218,Closed
1430,50,A2,0:23,54:50.1,6.52,450.2,7.665,1161,23.216,Closed
1440,50,A2,0:24,55:00.1,6.51,451,7.665,1161,23.216,Closed
1450,50,A2,0:24,55:10.1,6.51,453.3,7.664,1160,23.215,Closed
1460,50,A2,0:24,55:20.1,6.5,453.4,7.664,1160,23.214,Closed
1470,50,A2,0:24,55:30.1,6.5,452.7,7.664,1160,23.213,Closed
1480,50,A2,0:24,55:40.1,6.49,452.6,7.664,1159,23.213,Closed
1490,50,A2,0:24,55:50.1,6.48,452.4,7.667,1159,23.212,Closed
1500,50,A2,0:25,56:00.1,6.48,453.1,7.666,1159,23.211,Closed
1510,50,A2,0:25,56:10.1,6.47,454.3,7.665,1158,23.206,Closed
1520,50,A2,0:25,56:20.1,6.46,454.7,7.666,1158,23.207,Closed
1530,50,A2,0:25,56:30.1,6.46,454.2,7.666,1158,23.204,Closed
1540,50,A2,0:25,56:40.1,6.45,454.3,7.666,1158,23.202,Closed
1550,50,A2,0:25,56:50.1,6.44,454.6,7.663,1157,23.201,Closed
1560,50,A2,0:26,57:00.1,6.44,455.2,7.664,1157,23.199,Closed
1570,50,A2,0:26,57:10.1,6.43,455.4,7.664,1157,23.194,Closed
1580,50,A2,0:26,57:20.1,6.43,455.6,7.664,1156,23.194,Closed
1590,50,A2,0:26,57:30.1,6.42,456.5,7.663,1156,23.191,Closed
1600,50,A2,0:26,57:40.1,6.41,457.9,7.664,1156,23.187,Closed
1610,50,A2,0:26,57:50.1,6.41,458.1,7.665,1156,23.183,Closed
1620,50,A2,0:27,58:00.1,6.4,458.6,7.663,1155,23.181,Closed
1630,50,A2,0:27,58:10.1,6.4,458.5,7.665,1155,23.179,Closed
1640,50,A2,0:27,58:20.1,6.39,459,7.666,1155,23.178,Closed
1650,50,A2,0:27,58:30.1,6.38,459,7.666,1154,23.175,Closed
1660,50,A2,0:27,58:40.1,6.37,459.3,7.666,1154,23.173,Closed
1670,50,A2,0:27,58:50.1,6.37,458.6,7.664,1154,23.169,Closed
1680,50,A2,0:28,59:00.1,6.36,458.8,7.666,1154,23.167,Closed
1690,50,A2,0:28,59:10.1,6.35,459.1,7.666,1153,23.164,Closed
