t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
0,100,C,0:00:00,48:00.0,3.2,468.5,8.071,1164,21.559,Closed
10,100,C,0:00:10,48:10.0,3.2,468.2,8.072,1167,21.568,Closed
20,100,C,0:00:20,48:20.0,3.2,468.4,8.073,1167,21.574,Closed
30,100,C,0:00:30,48:30.0,3.2,468.2,8.074,1168,21.58,Closed
40,100,C,0:00:40,48:40.0,3.2,468.3,8.075,1167,21.582,Closed
50,100,C,0:00:50,48:50.0,3.2,468.3,8.077,1168,21.582,Closed
60,100,C,0:01:00,49:00.0,3.2,468.2,8.076,1167,21.586,Closed
70,100,C,0:01:10,49:10.0,3.37,446.9,7.923,1105,21.588,Closed
80,100,C,0:01:20,49:20.0,5.7,451.3,7.874,1007,21.592,Closed
90,100,C,0:01:30,49:30.0,6.51,450.9,7.896,1002,21.59,Closed
100,100,C,0:01:40,49:40.0,6.62,448.6,7.929,1003,21.592,Closed
110,100,C,0:01:50,49:50.0,7.85,449.4,7.896,1111,21.596,Closed
120,100,C,0:02:00,50:00.0,7.98,446.7,7.945,1094,21.594,Closed
130,100,C,0:02:10,50:10.0,8.14,448.6,7.872,1080,21.595,Closed
140,100,C,0:02:20,50:20.0,8.4,446.9,7.89,1094,21.595,Closed
150,100,C,0:02:30,50:30.0,8.16,446.7,7.869,1077,21.598,Closed
160,100,C,0:02:40,50:40.0,8.25,446.3,7.867,1000,21.6,Closed
170,100,C,0:02:50,50:50.0,8.18,441.9,7.882,1000,21.601,Closed
180,100,C,0:03:00,51:00.0,8.14,441,7.833,978.8,21.604,Closed
190,100,C,0:03:10,51:10.0,8.46,443.5,7.788,997.2,21.61,Closed
200,100,C,0:03:20,51:20.0,8.88,446.3,7.767,1036,21.624,Closed
210,100,C,0:03:30,51:30.0,9.39,449,7.749,1057,21.651,Closed
220,100,C,0:03:40,51:40.0,9.86,451.6,7.734,907.4,21.846,Closed
230,100,C,0:03:50,51:50.0,10.23,454.2,7.729,820.6,21.991,Closed
240,100,C,0:04:00,52:00.0,10.47,457.1,7.72,948.2,22.016,Closed
250,100,C,0:04:10,52:10.0,10.62,459.8,7.712,974.1,22.178,Closed
260,100,C,0:04:20,52:20.0,10.71,462.9,7.71,943.9,22.191,Closed
270,100,C,0:04:30,52:30.0,10.77,466,7.706,766.7,22.216,Closed
280,100,C,0:04:40,52:40.0,10.81,469.2,7.708,888.6,22.359,Closed
290,100,C,0:04:50,52:50.0,10.84,471.6,7.704,943.9,22.372,Closed
300,100,C,0:05:00,53:00.0,10.86,474.3,7.702,734.5,22.393,Closed
310,100,C,0:05:10,53:10.0,10.92,476.8,7.702,881.4,22.421,Closed
320,100,C,0:05:20,53:20.0,10.93,479.6,7.699,857.3,22.449,Closed
330,100,C,0:05:30,53:30.0,10.93,481.8,7.693,944.6,22.6,Closed
340,100,C,0:05:40,53:40.0,10.95,484.4,7.694,1007,22.607,Closed
350,100,C,0:05:50,53:50.0,10.96,486.7,7.698,966.3,22.622,Closed
360,100,C,0:06:00,54:00.0,10.97,489.2,7.695,1063,22.641,Closed
370,100,C,0:06:10,54:10.0,10.97,491.4,7.694,976.6,22.661,Closed
380,100,C,0:06:20,54:20.0,10.97,493.5,7.694,1013,22.682,Closed
