t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
0,100,A1,0:00,40:00.1,6.2,302.6,8.118,728.1,21.85,Closed
10,100,A1,0:00,40:10.1,6.38,300.1,8.17,909.5,21.848,Open
20,100,A1,0:00,40:20.1,7.85,300.7,7.996,885.6,21.851,Open
30,100,A1,0:00,40:30.1,8.85,292.2,7.934,889.7,21.852,Open
40,100,A1,0:00,40:40.1,8.78,290.1,7.941,900.4,21.851,Open
50,100,A1,0:00,40:50.1,8.5,287.7,7.914,909.7,21.85,Open
60,100,A1,0:01,41:00.1,8.85,286.3,7.894,911.3,21.851,Open
70,100,A1,0:01,41:10.1,8.58,283.2,7.95,911.3,21.854,Open
80,100,A1,0:01,41:20.1,8.51,283.1,7.896,898.3,21.856,Open
90,100,A1,0:01,41:30.1,8.66,280.6,7.916,879.5,21.856,Open
100,100,A1,0:01,41:40.1,8.65,279.2,7.89,880.2,21.853,Open
110,100,A1,0:01,41:50.1,8.73,278.4,7.902,917,21.852,Open
120,100,A1,0:02,42:00.1,8.2,271.6,7.92,896.8,21.856,Open
130,100,A1,0:02,42:10.1,7.99,271.2,7.853,928.6,21.861,Open
140,100,A1,0:02,42:20.1,8.53,280.2,7.814,914.2,21.866,Open
150,100,A1,0:02,42:30.1,9.06,301.7,7.791,936.1,21.875,Open
160,100,A1,0:02,42:40.1,9.53,317.7,7.769,964.2,21.896,Open
170,100,A1,0:02,42:50.1,9.96,333.1,7.759,992.3,22.087,Open
180,100,A1,0:03,43:00.1,10.22,346,7.758,1003,22.11,Open
190,100,A1,0:03,43:10.1,10.36,357.5,7.77,1023,22.298,Open
200,100,A1,0:03,43:20.1,10.48,366.7,7.763,1038,22.441,Open
210,100,A1,0:03,43:30.1,10.59,377,7.767,1023,22.46,Open
220,100,A1,0:03,43:40.1,10.68,384,7.772,1035,22.614,Open
230,100,A1,0:03,43:50.1,10.71,391.6,7.76,1030,22.618,Open
240,100,A1,0:04,44:00.1,10.71,396.2,7.753,1015,22.636,Open
250,100,A1,0:04,44:10.1,10.75,402.6,7.755,993.6,22.665,Open
260,100,A1,0:04,44:20.1,10.82,406.7,7.756,999.5,22.801,Open
270,100,A1,0:04,44:30.1,10.85,412.9,7.748,992,22.811,Open
280,100,A1,0:04,44:40.1,10.86,415.9,7.744,964.2,22.832,Open
290,100,A1,0:04,44:50.1,10.85,419.3,7.744,1042,22.853,Open
300,100,A1,0:05,45:00.1,10.89,422.1,7.743,1059,22.875,Open
310,100,A1,0:05,45:10.1,10.89,430.8,7.634,1289,22.901,Closed
320,100,A1,0:05,45:20.1,10.14,425.2,7.618,1303,23.067,Closed
330,100,A1,0:05,45:30.1,9.61,422.2,7.608,1287,23.07,Closed
340,100,A1,0:05,45:40.1,9.28,420.2,7.6,1297,23.075,Closed
350,100,A1,0:05,45:50.1,9.06,418.5,7.598,1300,23.081,Closed
360,100,A1,0:06,46:00.1,8.95,417.3,7.597,1306,23.092,Closed
370,100,A1,0:06,46:10.1,8.89,416,7.597,1310,23.103,Closed
380,100,A1,0:06,46:20.1,8.86,415,7.601,1308,23.12,Closed
390,100,A1,0:06,46:30.1,8.86,414.5,7.598,1306,23.134,Closed
400,100,A1,0:06,46:40.1,8.87,414.6,7.598,1292,23.15,Closed
410,100,A1,0:06,46:50.1,8.9,414.5,7.599,1283,23.17,Closed
420,100,A1,0:07,47:00.1,8.94,414.5,7.601,1288,23.187,Closed
430,100,A1,0:07,47:10.1,8.98,414.7,7.604,1279,23.205,Closed
440,100,A1,0:07,47:20.1,9.03,414.9,7.6,1277,23.225,Closed
450,100,A1,0:07,47:30.1,9.07,415.2,7.603,1290,23.243,Closed
460,100,A1,0:07,47:40.1,9.12,415.4,7.604,1292,23.261,Closed
470,100,A1,0:07,47:50.1,9.16,415.8,7.606,1287,23.281,Closed
480,100,A1,0:08,48:00.1,9.19,416.2,7.606,1280,23.303,Closed
490,100,A1,0:08,48:10.1,9.23,416.6,7.605,1277,23.323,Closed
500,100,A1,0:08,48:20.1,9.25,417,7.608,1283,23.343,Closed
510,100,A1,0:08,48:30.1,9.27,417.3,7.606,1285,23.359,Closed
520,100,A1,0:08,48:40.1,9.29,417.4,7.607,1290,23.378,Closed
530,100,A1,0:08,48:50.1,9.3,418.1,7.605,1287,23.393,Closed
540,100,A1,0:09,49:00.1,9.31,418.5,7.605,1291,23.412,Closed
550,100,A1,0:09,49:10.1,9.31,418.8,7.607,1295,23.43,Closed
560,100,A1,0:09,49:20.1,9.32,419,7.608,1294,23.446,Closed
570,100,A1,0:09,49:30.1,9.32,419.7,7.608,1293,23.462,Closed
580,100,A1,0:09,49:40.1,9.32,419.9,7.608,1292,23.476,Closed
590,100,A1,0:09,49:50.1,9.32,420.4,7.607,1293,23.49,Closed
600,100,A1,0:10,50:00.1,9.32,420.9,7.608,1290,23.508,Closed
610,100,A1,0:10,50:10.1,9.31,421.2,7.608,1277,23.525,Closed
620,100,A1,0:10,50:20.1,9.3,421.5,7.609,1278,23.54,Closed
630,100,A1,0:10,50:30.1,9.29,422.1,7.61,1281,23.554,Closed
640,100,A1,0:10,50:40.1,9.28,422.5,7.61,1278,23.569,Closed
650,100,A1,0:10,50:50.1,9.26,423,7.611,1279,23.584,Closed
660,100,A1,0:11,51:00.1,9.25,423.5,7.611,1280,23.6,Closed
670,100,A1,0:11,51:10.1,9.23,423.9,7.612,1285,23.613,Closed
680,100,A1,0:11,51:20.1,9.22,424.2,7.612,1281,23.628,Closed
690,100,A1,0:11,51:30.1,9.2,424.4,7.613,1287,23.643,Closed
700,100,A1,0:11,51:40.1,9.18,424.7,7.613,1287,23.657,Closed
710,100,A1,0:11,51:50.1,9.15,424.7,7.613,1288,23.669,Closed
720,100,A1,0:12,52:00.1,9.13,424.8,7.614,1285,23.683,Closed
730,100,A1,0:12,52:10.1,9.11,424.8,7.615,1284,23.696,Closed
740,100,A1,0:12,52:20.1,9.09,424.7,7.614,1285,23.707,Closed
750,100,A1,0:12,52:30.1,9.06,425,7.618,1285,23.718,Closed
760,100,A1,0:12,52:40.1,9.03,424.8,7.617,1285,23.731,Closed
