t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
790,50,A1,0:13,35:10.1,7.58,196.9,7.71,1097,21.625,Open
800,50,A1,0:13,35:20.1,7.73,199.9,7.7,1108,21.631,Open
810,50,A1,0:13,35:30.1,7.91,198.2,7.687,1123,21.639,Open
820,50,A1,0:13,35:40.1,8.11,198.2,7.676,1141,21.652,Open
830,50,A1,0:13,35:50.1,8.39,197.4,7.669,1158,21.669,Open
840,50,A1,0:14,36:00.1,8.62,197.8,7.667,1175,21.693,Open
850,50,A1,0:14,36:10.1,8.93,196,7.666,1189,21.827,Open
860,50,A1,0:14,36:20.1,9.07,195.4,7.662,1201,21.964,Open
870,50,A1,0:14,36:30.1,9.23,197.4,7.66,1210,21.972,Open
880,50,A1,0:14,36:40.1,9.37,194.5,7.66,1216,21.993,Open
890,50,A1,0:14,36:50.1,9.45,192.7,7.649,1221,22.141,Open
900,50,A1,0:15,37:00.1,9.59,194.5,7.655,1225,22.154,Open
910,50,A1,0:15,37:10.1,9.67,195.1,7.646,1228,22.177,Open
920,50,A1,0:15,37:20.1,9.72,193.6,7.642,1230,22.203,Open
930,50,A1,0:15,37:30.1,9.74,192.6,7.641,1231,22.362,Open
940,50,A1,0:15,37:40.1,9.8,193.7,7.641,1232,22.365,Open
950,50,A1,0:15,37:50.1,9.84,193.5,7.645,1233,22.376,Open
960,50,A1,0:16,38:00.1,9.88,195,7.636,1234,22.397,Open
970,50,A1,0:16,38:10.1,9.88,191.6,7.64,1234,22.553,Open
980,50,A1,0:16,38:20.1,9.95,194.3,7.637,1234,22.547,Open
990,50,A1,0:16,38:30.1,9.99,192.1,7.623,1235,22.55,Open
1000,50,A1,0:16,38:40.1,9.92,194.2,7.632,1235,22.562,Open
1010,50,A1,0:16,38:50.1,9.98,193.4,7.633,1235,22.573,Open
1020,50,A1,0:17,39:00.1,10,193.7,7.632,1235,22.591,Open
1030,50,A1,0:17,39:10.1,10.01,194.3,7.624,1236,22.614,Open
1040,50,A1,0:17,39:20.1,10.04,192.4,7.631,1236,22.635,Open
1050,50,A1,0:17,39:30.1,10.05,195.2,7.624,1236,22.791,Open
1060,50,A1,0:17,39:40.1,10.07,196.3,7.626,1236,22.787,Open
1070,50,A1,0:17,39:50.1,10.06,195,7.626,1236,22.788,Open
1080,50,A1,0:18,40:00.1,10.07,194.1,7.63,1236,22.801,Open
1090,50,A1,0:18,40:10.1,10.08,193.7,7.624,1236,22.813,Open
1100,50,A1,0:18,40:20.1,10.1,192.4,7.625,1236,22.831,Open
1110,50,A1,0:18,40:30.1,10.12,194.4,7.628,1236,22.848,Open
1120,50,A1,0:18,40:40.1,10.12,193.2,7.623,1236,22.866,Open
1130,50,A1,0:18,40:50.1,10.09,193.8,7.622,1236,22.886,Open
1140,50,A1,0:19,41:00.1,10.09,194.4,7.626,1236,22.904,Open
1150,50,A1,0:19,41:10.1,9.94,232,7.627,1236,23.04,Closed
1160,50,A1,0:19,41:20.1,8.86,243.2,7.628,1236,23.043,Closed
1170,50,A1,0:19,41:30.1,8.05,246.1,7.635,1235,23.051,Closed
1180,50,A1,0:19,41:40.1,7.47,247.4,7.642,1235,23.066,Closed
1190,50,A1,0:19,41:50.1,7.06,248.9,7.653,1234,23.08,Closed
1200,50,A1,0:20,42:00.1,6.77,250.4,7.657,1233,23.095,Closed
1210,50,A1,0:20,42:10.1,6.53,251.1,7.662,1232,23.111,Closed
1220,50,A1,0:20,42:20.1,6.33,251.2,7.665,1231,23.128,Closed
1230,50,A1,0:20,42:30.1,6.19,251.4,7.667,1230,23.148,Closed
1240,50,A1,0:20,42:40.1,6.09,251.6,7.669,1229,23.166,Closed
1250,50,A1,0:20,42:50.1,6.02,251.7,7.669,1228,23.187,Closed
1260,50,A1,0:21,43:00.1,5.98,253.1,7.671,1227,23.206,Closed
1270,50,A1,0:21,43:10.1,5.97,252.1,7.671,1227,23.224,Closed
1280,50,A1,0:21,43:20.1,5.97,251.7,7.672,1226,23.244,Closed
1290,50,A1,0:21,43:30.1,5.98,251.8,7.674,1225,23.258,Closed
1300,50,A1,0:21,43:40.1,6,252.6,7.674,1224,23.276,Closed
1310,50,A1,0:21,43:50.1,6.02,254.4,7.674,1223,23.292,Closed
1320,50,A1,0:22,44:00.1,6.05,254.2,7.674,1223,23.311,Closed
1330,50,A1,0:22,44:10.1,6.07,254.2,7.675,1222,23.328,Closed
1340,50,A1,0:22,44:20.1,6.11,254.2,7.677,1221,23.341,Closed
1350,50,A1,0:22,44:30.1,6.13,254.3,7.672,1221,23.354,Closed
1360,50,A1,0:22,44:40.1,6.15,254.7,7.674,1220,23.37,Closed
1370,50,A1,0:22,44:50.1,6.17,254.5,7.674,1219,23.386,Closed
1380,50,A1,0:23,45:00.1,6.19,255,7.672,1219,23.401,Closed
1390,50,A1,0:23,45:10.1,6.2,255,7.673,1218,23.415,Closed
1400,50,A1,0:23,45:20.1,6.19,255.5,7.674,1217,23.427,Closed
1410,50,A1,0:23,45:30.1,6.19,256,7.674,1217,23.439,Closed
1420,50,A1,0:23,45:40.1,6.18,257,7.674,1216,23.452,Closed
1430,50,A1,0:23,45:50.1,6.17,257.2,7.672,1215,23.465,Closed
1440,50,A1,0:24,46:00.1,6.17,257.7,7.674,1215,23.478,Closed
1450,50,A1,0:24,46:10.1,6.16,257.5,7.671,1214,23.489,Closed
1460,50,A1,0:24,46:20.1,6.15,257.6,7.671,1213,23.501,Closed
1470,50,A1,0:24,46:30.1,6.13,258,7.672,1213,23.513,Closed
1480,50,A1,0:24,46:40.1,6.12,257.7,7.672,1212,23.52,Closed
1490,50,A1,0:24,46:50.1,6.11,258.1,7.67,1212,23.528,Closed
1500,50,A1,0:25,47:00.1,6.1,258.2,7.672,1211,23.537,Closed
1510,50,A1,0:25,47:10.1,6.09,258.9,7.672,1210,23.546,Closed
1520,50,A1,0:25,47:20.1,6.08,259.5,7.673,1210,23.552,Closed
1530,50,A1,0:25,47:30.1,6.06,260.5,7.669,1209,23.558,Closed
1540,50,A1,0:25,47:40.1,6.05,260.6,7.67,1209,23.565,Closed
