t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
0,50,C,0:00:00,59:30.1,3.49,384.6,7.78,1083,21.416,Closed
10,50,C,0:00:10,59:40.1,3.49,385.1,7.781,1084,21.409,Closed
20,50,C,0:00:20,59:50.1,3.49,384.2,7.782,1084,21.402,Closed
30,50,C,0:00:30,00:00.1,3.48,384.3,7.782,1084,21.396,Closed
40,50,C,0:00:40,00:10.1,4.31,282.7,7.768,1021,21.391,Closed
50,50,C,0:00:50,00:20.1,6.42,294.4,7.689,798.6,21.387,Closed
60,50,C,0:01:00,00:30.1,6.68,295.8,7.662,810.1,21.384,Closed
70,50,C,0:01:10,00:40.1,6.12,295,7.695,822.6,21.379,Closed
80,50,C,0:01:20,00:50.1,5.83,295.4,7.691,807.6,21.376,Closed
90,50,C,0:01:30,01:00.1,5.78,295.8,7.69,819.2,21.375,Closed
100,50,C,0:01:40,01:10.1,5.82,296.4,7.681,819.9,21.371,Closed
110,50,C,0:01:50,01:20.1,5.71,295.1,7.688,814.9,21.369,Closed
120,50,C,0:02:00,01:30.1,5.62,302.2,7.712,817.5,21.366,Closed
130,50,C,0:02:10,01:40.1,5.6,294.2,7.699,815,21.365,Closed
140,50,C,0:02:20,01:50.1,5.62,294,7.689,825.3,21.366,Closed
150,50,C,0:02:30,02:00.1,5.58,294.1,7.694,815.4,21.366,Closed
160,50,C,0:02:40,02:10.1,5.6,293.2,7.695,817.6,21.364,Closed
170,50,C,0:02:50,02:20.1,5.58,293.7,7.688,817.2,21.362,Closed
180,50,C,0:03:00,02:30.1,5.52,294.1,7.691,810.6,21.36,Closed
190,50,C,0:03:10,02:40.1,5.43,294.2,7.718,823,21.36,Closed
200,50,C,0:03:20,02:50.1,5.31,283.4,7.749,823.3,21.358,Closed
210,50,C,0:03:30,03:00.1,5.25,281.9,7.727,778.9,21.359,Closed
220,50,C,0:03:40,03:10.1,5.28,279.6,7.7,781.9,21.359,Closed
230,50,C,0:03:50,03:20.1,5.34,282.3,7.672,791.7,21.361,Closed
240,50,C,0:04:00,03:30.1,5.41,282.2,7.641,788.9,21.361,Closed
250,50,C,0:04:10,03:40.1,5.48,281.1,7.625,801.9,21.369,Closed
260,50,C,0:04:20,03:50.1,5.54,282.1,7.613,825,21.379,Closed
270,50,C,0:04:30,04:00.1,5.64,280.7,7.605,841.5,21.395,Closed
280,50,C,0:04:40,04:10.1,5.68,281.5,7.603,799.1,21.419,Closed
290,50,C,0:04:50,04:20.1,5.74,282.3,7.596,811.7,21.445,Closed
300,50,C,0:05:00,04:30.1,5.81,281.3,7.591,830.4,21.473,Closed
310,50,C,0:05:10,04:40.1,8.69,283.6,7.588,833.2,21.634,Closed
320,50,C,0:05:20,04:50.1,9.53,284,7.584,822.9,21.641,Closed
330,50,C,0:05:30,05:00.1,9.97,284.3,7.577,830.2,21.657,Closed
340,50,C,0:05:40,05:10.1,10.29,285.2,7.571,842.5,21.676,Closed
350,50,C,0:05:50,05:20.1,10.58,287.3,7.568,853.2,21.698,Closed
360,50,C,0:06:00,05:30.1,10.81,287.7,7.565,857.7,21.721,Closed
370,50,C,0:06:10,05:40.1,10.98,287.5,7.561,844.1,21.743,Closed
380,50,C,0:06:20,05:50.1,11.11,289.5,7.558,855.3,21.766,Closed
390,50,C,0:06:30,06:00.1,11.22,289.6,7.556,852.2,21.789,Closed
400,50,C,0:06:40,06:10.1,11.33,290.2,7.554,843.1,21.812,Closed
410,50,C,0:06:50,06:20.1,11.44,292,7.554,843,21.833,Closed
420,50,C,0:07:00,06:30.1,11.53,292.4,7.55,851.7,21.852,Closed
430,50,C,0:07:10,06:40.1,11.63,295.6,7.548,866.5,21.872,Closed
440,50,C,0:07:20,06:50.1,11.71,297.2,7.55,861.3,21.89,Closed
450,50,C,0:07:30,07:00.1,11.8,296.9,7.545,830.7,21.908,Closed
460,50,C,0:07:40,07:10.1,11.89,296.6,7.545,842.2,21.922,Closed
470,50,C,0:07:50,07:20.1,11.96,296.7,7.544,838.6,21.936,Closed
480,50,C,0:08:00,07:30.1,12.03,297.2,7.544,844,21.947,Closed
490,50,C,0:08:10,07:40.1,12.1,299,7.542,837.4,21.96,Closed
500,50,C,0:08:20,07:50.1,12.16,313.2,7.538,874.5,21.97,Closed
510,50,C,0:08:30,08:00.1,12.22,305.2,7.541,849.6,21.983,Closed
520,50,C,0:08:40,08:10.1,12.28,302.5,7.539,853.9,21.997,Closed
530,50,C,0:08:50,08:20.1,12.34,307.8,7.541,876.8,22.012,Closed
540,50,C,0:09:00,08:30.1,12.39,303.9,7.541,872.6,22.025,Closed
550,50,C,0:09:10,08:40.1,12.45,304.2,7.536,841.3,22.038,Closed
560,50,C,0:09:20,08:50.1,12.5,303.8,7.539,869,22.053,Closed
570,50,C,0:09:30,09:00.1,12.55,312.9,7.536,853.7,22.064,Closed
580,50,C,0:09:40,09:10.1,12.59,312.1,7.539,851.2,22.077,Closed
590,50,C,0:09:50,09:20.1,12.63,313,7.537,839.4,22.089,Closed
600,50,C,0:10:00,09:30.1,12.67,314.6,7.535,842.1,22.102,Closed
610,50,C,0:10:10,09:40.1,12.7,313.1,7.536,850.2,22.115,Closed
620,50,C,0:10:20,09:50.1,12.73,313.2,7.534,849,22.129,Closed
630,50,C,0:10:30,10:00.1,12.75,318.8,7.535,830,22.141,Closed
640,50,C,0:10:40,10:10.1,12.76,317.8,7.537,857.4,22.152,Closed
650,50,C,0:10:50,10:20.1,12.79,319.8,7.534,842.5,22.162,Closed
660,50,C,0:11:00,10:30.1,12.8,316.2,7.534,853.6,22.176,Closed
670,50,C,0:11:10,10:40.1,12.82,316.7,7.534,847.7,22.191,Closed
680,50,C,0:11:20,10:50.1,12.82,320.7,7.532,846.2,22.203,Closed
690,50,C,0:11:30,11:00.1,12.83,319,7.53,842.5,22.214,Closed
700,50,C,0:11:40,11:10.1,12.85,318.2,7.533,831.3,22.225,Closed
710,50,C,0:11:50,11:20.1,12.86,318.9,7.531,875.8,22.233,Closed
720,50,C,0:12:00,11:30.1,12.87,319.9,7.531,849,22.244,Closed
730,50,C,0:12:10,11:40.1,12.87,321,7.531,858.2,22.255,Closed
740,50,C,0:12:20,11:50.1,12.89,320,7.531,869.4,22.265,Closed
750,50,C,0:12:30,12:00.1,12.9,321.5,7.532,849.6,22.275,Closed
760,50,C,0:12:40,12:10.1,12.92,322.1,7.532,840.1,22.287,Closed
770,50,C,0:12:50,12:20.1,12.93,322,7.531,836.2,22.296,Closed
780,50,C,0:13:00,12:30.1,12.93,323.1,7.532,839.6,22.305,Closed
790,50,C,0:13:10,12:40.1,12.94,323.2,7.533,798.7,22.316,Closed
800,50,C,0:13:20,12:50.1,12.93,323,7.531,842.8,22.329,Closed
810,50,C,0:13:30,13:00.1,12.93,325.1,7.531,842.3,22.34,Closed
820,50,C,0:13:40,13:10.1,12.92,324.2,7.53,843.2,22.349,Closed
830,50,C,0:13:50,13:20.1,12.9,325.3,7.532,849.1,22.361,Closed
840,50,C,0:14:00,13:30.1,12.88,325.4,7.53,850,22.373,Closed
850,50,C,0:14:10,13:40.1,12.85,327.2,7.53,863.8,22.386,Closed
860,50,C,0:14:20,13:50.1,12.83,327.1,7.53,849.9,22.396,Closed
870,50,C,0:14:30,14:00.1,12.79,329,7.531,856.6,22.408,Closed
880,50,C,0:14:40,14:10.1,12.77,330.2,7.53,847.7,22.42,Closed
890,50,C,0:14:50,14:20.1,12.74,331.2,7.53,834.4,22.433,Closed
900,50,C,0:15:00,14:30.1,12.71,330.7,7.531,845.7,22.446,Closed
910,50,C,0:15:10,14:40.1,12.69,331,7.529,842,22.457,Closed
920,50,C,0:15:20,14:50.1,12.67,330.8,7.532,854.1,22.469,Closed
930,50,C,0:15:30,15:00.1,12.65,332.2,7.533,854.3,22.481,Closed
940,50,C,0:15:40,15:10.1,12.62,332.6,7.531,801.3,22.492,Closed
950,50,C,0:15:50,15:20.1,12.6,333.7,7.531,840.1,22.504,Closed
960,50,C,0:16:00,15:30.1,12.57,338.2,7.53,842,22.514,Closed
970,50,C,0:16:10,15:40.1,12.55,334.5,7.531,842.1,22.526,Closed
980,50,C,0:16:20,15:50.1,12.51,336.2,7.531,833.3,22.538,Closed
990,50,C,0:16:30,16:00.1,12.49,337.5,7.533,846.4,22.546,Closed
1000,50,C,0:16:40,16:10.1,12.46,335.8,7.531,836.3,22.558,Closed
1010,50,C,0:16:50,16:20.1,12.43,337.2,7.531,858.5,22.568,Closed
1020,50,C,0:17:00,16:30.1,12.41,339.4,7.532,836.1,22.577,Closed
1030,50,C,0:17:10,16:40.1,12.38,338.6,7.53,849.1,22.587,Closed
1040,50,C,0:17:20,16:50.1,12.35,345.2,7.53,847.5,22.596,Closed
1050,50,C,0:17:30,17:00.1,12.33,339,7.529,839.8,22.607,Closed
1060,50,C,0:17:40,17:10.1,12.31,339.2,7.53,851.6,22.621,Closed
