t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
0,25,A1,0:00,59:30.1,3.96,-174,7.769,1072,21.35,Closed
10,25,A1,0:00,59:40.1,3.96,-180.6,7.77,1072,21.348,Closed
20,25,A1,0:00,59:50.1,3.96,-185.1,7.767,1072,21.348,Closed
30,25,A1,0:00,00:00.1,3.97,-115,7.769,1072,21.347,Closed
40,25,A1,0:00,00:10.1,3.97,-148.2,7.77,1072,21.347,Closed
50,25,A1,0:00,00:20.1,3.97,-163.4,7.767,1072,21.345,Closed
60,25,A1,0:01,00:30.1,3.97,-170,7.77,1072,21.34,Closed
70,25,A1,0:01,00:40.1,3.97,-166.4,7.769,1072,21.337,Closed
80,25,A1,0:01,00:50.1,3.97,-165.6,7.769,1072,21.337,Closed
90,25,A1,0:01,01:00.1,3.97,-167.3,7.773,1072,21.335,Closed
100,25,A1,0:01,01:10.1,4.66,-67.8,7.794,971.9,21.33,Open
110,25,A1,0:01,01:20.1,7.85,-193.7,7.727,967.3,21.325,Open
120,25,A1,0:02,01:30.1,8.33,-202.6,7.712,1025,21.32,Open
130,25,A1,0:02,01:40.1,7.98,-207.5,7.73,1040,21.315,Open
140,25,A1,0:02,01:50.1,7.75,-213,7.721,1041,21.319,Open
150,25,A1,0:02,02:00.1,7.72,-215,7.729,1049,21.316,Open
160,25,A1,0:02,02:10.1,7.66,-221,7.728,1047,21.316,Open
170,25,A1,0:02,02:20.1,7.93,-210.8,7.715,1049,21.316,Open
180,25,A1,0:03,02:30.1,7.9,-221.4,7.718,1049,21.314,Open
190,25,A1,0:03,02:40.1,7.8,-230.1,7.749,1048,21.311,Open
200,25,A1,0:03,02:50.1,7.73,-231.7,7.765,1046,21.312,Open
210,25,A1,0:03,03:00.1,7.81,-232.1,7.74,1046,21.31,Open
220,25,A1,0:03,03:10.1,7.97,-232.2,7.722,1049,21.303,Open
230,25,A1,0:03,03:20.1,8,-222.2,7.729,1048,21.308,Open
240,25,A1,0:04,03:30.1,8.04,-233.6,7.733,1049,21.309,Open
250,25,A1,0:04,03:40.1,8.06,-235.9,7.723,1047,21.311,Open
260,25,A1,0:04,03:50.1,8.08,-239.6,7.723,1048,21.311,Open
270,25,A1,0:04,04:00.1,8.08,-242.2,7.714,1049,21.312,Open
280,25,A1,0:04,04:10.1,7.89,-246.3,7.741,1050,21.318,Open
290,25,A1,0:04,04:20.1,7.51,-231.8,7.793,1050,21.317,Open
300,25,A1,0:05,04:30.1,7.11,-241.1,7.801,1051,21.322,Open
310,25,A1,0:05,04:40.1,7,-242.4,7.772,1052,21.325,Open
320,25,A1,0:05,04:50.1,7.16,-233,7.736,1056,21.328,Open
330,25,A1,0:05,05:00.1,7.47,-242.5,7.698,1060,21.328,Open
340,25,A1,0:05,05:10.1,7.77,-239.5,7.667,1068,21.333,Open
350,25,A1,0:05,05:20.1,8.1,-249.4,7.653,1078,21.341,Open
360,25,A1,0:06,05:30.1,8.42,-249.5,7.638,1090,21.351,Open
370,25,A1,0:06,05:40.1,8.65,-252.1,7.634,1102,21.363,Open
380,25,A1,0:06,05:50.1,8.96,-250,7.631,1112,21.38,Open
390,25,A1,0:06,06:00.1,9.21,-250.2,7.63,1123,21.535,Open
400,25,A1,0:06,06:10.1,9.41,-256.9,7.631,1134,21.541,Open
410,25,A1,0:06,06:20.1,9.67,-258.8,7.629,1141,21.551,Open
420,25,A1,0:07,06:30.1,9.83,-264.6,7.626,1150,21.693,Open
430,25,A1,0:07,06:40.1,9.96,-171.9,7.618,1157,21.703,Open
440,25,A1,0:07,06:50.1,10.1,-221.9,7.616,1160,21.712,Open
450,25,A1,0:07,07:00.1,10.19,-240,7.62,1165,21.728,Open
460,25,A1,0:07,07:10.1,10.29,-245.2,7.619,1169,21.754,Open
470,25,A1,0:07,07:20.1,10.35,-252.3,7.611,1172,21.893,Open
480,25,A1,0:08,07:30.1,10.39,-245,7.604,1173,21.898,Open
490,25,A1,0:08,07:40.1,10.46,-250.5,7.618,1174,21.912,Open
500,25,A1,0:08,07:50.1,10.52,-252,7.606,1174,21.932,Open
510,25,A1,0:08,08:00.1,10.52,-254.3,7.607,1177,21.956,Open
520,25,A1,0:08,08:10.1,10.52,-255.5,7.607,1175,21.976,Open
530,25,A1,0:08,08:20.1,10.61,-263.3,7.606,1177,22.136,Open
540,25,A1,0:09,08:30.1,10.58,-272.5,7.609,1178,22.133,Open
550,25,A1,0:09,08:40.1,10.59,-261.6,7.602,1178,22.135,Open
560,25,A1,0:09,08:50.1,10.58,-267.8,7.596,1177,22.141,Open
570,25,A1,0:09,09:00.1,10.59,-272.5,7.604,1176,22.152,Open
580,25,A1,0:09,09:10.1,10.54,-274,7.599,1176,22.171,Open
590,25,A1,0:09,09:20.1,10.56,-272.8,7.597,1178,22.191,Open
600,25,A1,0:10,09:30.1,10.55,-265.8,7.595,1177,22.209,Open
610,25,A1,0:10,09:40.1,10.58,-265.5,7.589,1177,22.226,Open
620,25,A1,0:10,09:50.1,10.6,-267.8,7.601,1176,22.365,Open
630,25,A1,0:10,10:00.1,10.65,-267.5,7.601,1175,22.356,Open
640,25,A1,0:10,10:10.1,10.67,-268.2,7.597,1179,22.357,Open
650,25,A1,0:10,10:20.1,10.66,-260.1,7.595,1176,22.365,Open
660,25,A1,0:11,10:30.1,10.66,-268.5,7.603,1177,22.371,Open
670,25,A1,0:11,10:40.1,10.66,-270.7,7.593,1179,22.38,Open
680,25,A1,0:11,10:50.1,10.64,-272,7.594,1177,22.395,Open
690,25,A1,0:11,11:00.1,10.63,-271,7.594,1176,22.415,Open
700,25,A1,0:11,11:10.1,10.59,-259.7,7.593,1176,22.432,Open
710,25,A1,0:11,11:20.1,10.64,-260.8,7.593,1176,22.448,Open
720,25,A1,0:12,11:30.1,10.63,-267.7,7.597,1176,22.467,Open
730,25,A1,0:12,11:40.1,10.6,-268.8,7.586,1174,22.486,Open
740,25,A1,0:12,11:50.1,10.59,-267.5,7.591,1177,22.504,Open
750,25,A1,0:12,12:00.1,10.56,-272.2,7.594,1174,22.523,Open
760,25,A1,0:12,12:10.1,10.56,-273.8,7.589,1173,22.543,Open
770,25,A1,0:12,12:20.1,10.59,-272.8,7.588,1176,22.561,Open
780,25,A1,0:13,12:30.1,10.62,-275.5,7.593,1175,22.58,Open
790,25,A1,0:13,12:40.1,10.6,-272.7,7.591,1176,22.599,Open
800,25,A1,0:13,12:50.1,10.57,-270.8,7.59,1176,22.619,Open
810,25,A1,0:13,13:00.1,10.6,-277.3,7.591,1176,22.639,Open
820,25,A1,0:13,13:10.1,10.61,-277.5,7.595,1177,22.658,Open
830,25,A1,0:13,13:20.1,10.6,-269.9,7.594,1174,22.678,Open
840,25,A1,0:14,13:30.1,10.58,-259.2,7.587,1174,22.699,Open
850,25,A1,0:14,13:40.1,10.55,-253.2,7.59,1174,22.718,Open
860,25,A1,0:14,13:50.1,10.54,-256.6,7.584,1173,22.737,Open
870,25,A1,0:14,14:00.1,10.56,-256.3,7.586,1173,22.757,Open
880,25,A1,0:14,14:10.1,10.54,-248.6,7.588,1174,22.776,Open
890,25,A1,0:14,14:20.1,10.53,-226.7,7.591,1174,22.796,Open
900,25,A1,0:15,14:30.1,10.51,-239.7,7.591,1172,22.813,Open
910,25,A1,0:15,14:40.1,10.56,-242.6,7.585,1172,22.83,Open
920,25,A1,0:15,14:50.1,10.52,-246,7.584,1172,22.849,Open
930,25,A1,0:15,15:00.1,10.53,-246.3,7.583,1173,22.867,Open
940,25,A1,0:15,15:10.1,10.52,-240.1,7.592,1170,22.887,Open
950,25,A1,0:15,15:20.1,10.51,-249.5,7.583,1171,22.905,Open
960,25,A1,0:16,15:30.1,10.53,-249.3,7.584,1170,22.92,Open
970,25,A1,0:16,15:40.1,10.52,-252,7.587,1169,22.935,Open
980,25,A1,0:16,15:50.1,10.46,-252.4,7.589,1173,22.948,Open
990,25,A1,0:16,16:00.1,10.45,-253.2,7.583,1169,22.961,Open
1000,25,A1,0:16,16:10.1,10.46,-255.1,7.589,1168,22.977,Open
1010,25,A1,0:16,16:20.1,10.46,-251,7.591,1169,22.993,Open
1020,25,A1,0:17,16:30.1,10.49,-255.1,7.584,1169,23.008,Open
1030,25,A1,0:17,16:40.1,10.45,-243,7.583,1168,23.022,Open
1040,25,A1,0:17,16:50.1,10.47,-243.5,7.584,1168,23.04,Open
1050,25,A1,0:17,17:00.1,10.42,-245.6,7.585,1168,23.054,Open
1060,25,A1,0:17,17:10.1,10.41,-207.6,7.587,1171,23.073,Open
1070,25,A1,0:17,17:20.1,10.44,-226.7,7.588,1169,23.089,Open
1080,25,A1,0:18,17:30.1,10.43,-232,7.585,1169,23.1,Open
1090,25,A1,0:18,17:40.1,10.42,-229.5,7.593,1168,23.111,Open
1100,25,A1,0:18,17:50.1,10.42,-230.1,7.588,1169,23.125,Open
1110,25,A1,0:18,18:00.1,10.42,-208.5,7.588,1168,23.144,Open
1120,25,A1,0:18,18:10.1,10.41,-217,7.588,1168,23.161,Open
1130,25,A1,0:18,18:20.1,10.42,-225.6,7.581,1168,23.172,Open
1140,25,A1,0:19,18:30.1,10.4,-226.4,7.586,1166,23.185,Open
1150,25,A1,0:19,18:40.1,10.36,-223,7.59,1168,23.201,Open
1160,25,A1,0:19,18:50.1,10.39,-228.5,7.582,1165,23.217,Open
1170,25,A1,0:19,19:00.1,10.34,-230.9,7.588,1166,23.23,Open
1180,25,A1,0:19,19:10.1,10.35,-231.3,7.581,1166,23.24,Open
1190,25,A1,0:19,19:20.1,10.35,-234.4,7.58,1165,23.254,Open
1200,25,A1,0:20,19:30.1,10.32,-228.8,7.587,1167,23.269,Open
1210,25,A1,0:20,19:40.1,10.32,-237.4,7.583,1165,23.282,Open
1220,25,A1,0:20,19:50.1,10.28,-240.2,7.584,1165,23.297,Open
1230,25,A1,0:20,20:00.1,10.28,-242.2,7.581,1165,23.312,Open
1240,25,A1,0:20,20:10.1,10.28,-242.7,7.584,1164,23.328,Open
1250,25,A1,0:20,20:20.1,10.27,-243,7.586,1164,23.341,Open
1260,25,A1,0:21,20:30.1,10.27,-241.7,7.584,1166,23.35,Open
1270,25,A1,0:21,20:40.1,10.24,-244.8,7.581,1166,23.36,Open
1280,25,A1,0:21,20:50.1,10.24,-244.9,7.583,1165,23.378,Open
1290,25,A1,0:21,21:00.1,10.23,-249.4,7.581,1165,23.39,Open
1300,25,A1,0:21,21:10.1,10.05,47.7,7.548,1204,23.401,Closed
1310,25,A1,0:21,21:20.1,9.16,15.6,7.542,1203,23.412,Closed
1320,25,A1,0:22,21:30.1,8.48,-17.9,7.547,1203,23.421,Closed
1330,25,A1,0:22,21:40.1,7.99,-41.6,7.553,1202,23.429,Closed
1340,25,A1,0:22,21:50.1,7.62,-56.9,7.561,1202,23.436,Closed
1350,25,A1,0:22,22:00.1,7.37,-68.5,7.564,1201,23.442,Closed
1360,25,A1,0:22,22:10.1,7.2,-81.3,7.572,1200,23.448,Closed
1370,25,A1,0:22,22:20.1,7.07,-93.6,7.579,1200,23.454,Closed
1380,25,A1,0:23,22:30.1,6.96,-98.5,7.583,1199,23.46,Closed
1390,25,A1,0:23,22:40.1,6.84,-103.9,7.586,1198,23.467,Closed
